step,strain,stress
0,0.0,0.0
1,0.003,17.8359752841791
2,0.006,34.61134127936296
3,0.009000000000000001,50.39383818416392
4,0.012,65.2468796892564
5,0.015,79.2298293076992
6,0.018000000000000002,92.39825905627954
7,0.021,104.80419161510281
8,0.024,116.4963270206589
9,0.027,127.52025488019805
10,0.03,137.91865303215818
11,0.033,147.73147351832233
12,0.036000000000000004,156.996116678095
13,0.039,165.7475941235277
14,0.042,174.01868130527055
15,0.045,181.84006033426812
16,0.048,189.24045368155728
17,0.051000000000000004,196.24674933877432
18,0.054,202.8841179847688
19,0.057,209.17612266888707
20,0.06,215.14482148887888
21,0.063,220.81086371085556
22,0.066,226.19357975014861
23,0.069,231.31106540516978
24,0.07200000000000001,236.18026071132596
25,0.075,240.81702375860394
26,0.078,245.236199794489
27,0.081,249.45168591334027
28,0.084,253.4764916141111
29,0.08700000000000001,257.32279549030085
30,0.09,261.00199829916784
31,0.093,264.524772641458
32,0.096,267.9011094681317
33,0.099,271.14036161674676
34,0.10200000000000001,274.2512845672095
35,0.105,277.2420745944921
36,0.108,280.1204044845683
37,0.111,282.893456969203
38,0.114,285.5679560252914
39,0.117,288.15019617513593
40,0.12,290.64606991533964
41,0.123,293.0610933938406
42,0.126,295.4004304469756
43,0.129,297.66891510131757
44,0.132,299.87107263834037
45,0.135,302.01113931370105
46,0.138,304.09308081706945
47,0.14100000000000001,306.1206095529436
48,0.14400000000000002,308.0972008177549
49,0.147,310.0261079437553
50,0.15,311.9103764756776
51,0.153,313.75285744194485
52,0.156,315.5562197782587
53,0.159,317.32296195770454
54,0.162,319.05542287805093
55,0.165,320.7557920536875
56,0.168,322.42611915661234
57,0.171,324.0683229480444
58,0.17400000000000002,325.68419963958195
59,0.177,327.275430720341
60,0.18,328.84359028418095
